Jintra	DeltaJ	Freq1	Freq2	Freq3
-5.000000	-0.100000	0.000000	5.000458	5.000458
-5.000000	-0.596667	0.000000	5.016268	5.016268
-5.000000	-1.093333	0.000000	5.054243	5.054243
-5.000000	-1.590000	0.000000	5.113464	5.113464
-5.000000	-2.086667	0.000000	5.192542	5.192542
-5.000000	-2.583333	0.000000	5.289697	5.289697
-5.000000	-3.080000	0.000000	5.402862	5.402862
-5.000000	-3.576667	0.000000	5.529769	5.529769
-5.000000	-4.073333	0.000000	5.668050	5.668050
-5.000000	-4.570000	0.000000	5.815309	5.815309
-5.000000	-5.066667	8.371001	5.969191	14.340192
-5.000000	-5.563333	8.266090	6.127439	14.393529
-5.000000	-6.060000	8.179105	6.287927	14.467032
-5.000000	-6.556667	8.111824	6.448704	14.560529
-5.000000	-7.053333	8.065822	6.608012	14.673835
-5.000000	-7.550000	8.042426	6.764308	14.806733
-5.000000	-8.046667	8.042684	6.916273	14.958957
-5.000000	-8.543333	8.067345	7.062823	15.130167
-5.000000	-9.040000	8.116840	7.203103	15.319944
-5.000000	-9.536667	8.191294	7.336484	15.527778
-5.000000	-10.033333	8.290531	7.462544	15.753074
-5.000000	-10.530000	8.414106	7.581049	15.995155
-5.000000	-11.026667	8.561340	7.691935	16.253275
-5.000000	-11.523333	8.731361	7.795274	16.526635
-5.000000	-12.020000	8.923147	7.891251	16.814398
-5.000000	-12.516667	9.135569	7.980139	17.115709
-5.000000	-13.013333	9.367435	8.062274	17.429708
-5.000000	-13.510000	9.617519	8.138031	17.755550
-5.000000	-14.006667	9.884598	8.207810	18.092408
-5.000000	-14.503333	10.167468	8.272022	18.439491
-5.000000	-15.000000	10.464969	8.331075	18.796044
-5.900000	-0.100000	0.000000	5.900388	5.900388
-5.900000	-0.596667	0.000000	5.913798	5.913798
-5.900000	-1.093333	0.000000	5.946098	5.946098
-5.900000	-1.590000	0.000000	5.996722	5.996722
-5.900000	-2.086667	0.000000	6.064802	6.064802
-5.900000	-2.583333	0.000000	6.149209	6.149209
-5.900000	-3.080000	0.000000	6.248598	6.248598
-5.900000	-3.576667	0.000000	6.361458	6.361458
-5.900000	-4.073333	0.000000	6.486160	6.486160
-5.900000	-4.570000	0.000000	6.621010	6.621010
-5.900000	-5.066667	0.000000	6.764286	6.764286
-5.900000	-5.563333	0.000000	6.914277	6.914277
-5.900000	-6.060000	9.859420	7.069311	16.928731
-5.900000	-6.556667	9.755552	7.227784	16.983336
-5.900000	-7.053333	9.666856	7.388177	17.055033
-5.900000	-7.550000	9.594623	7.549074	17.143698
-5.900000	-8.046667	9.540024	7.709179	17.249202
-5.900000	-8.543333	9.504084	7.867319	17.371403
-5.900000	-9.040000	9.487671	8.022458	17.510129
-5.900000	-9.536667	9.491475	8.173701	17.665176
-5.900000	-10.033333	9.516000	8.320292	17.836292
-5.900000	-10.530000	9.561558	8.461617	18.023175
-5.900000	-11.026667	9.628272	8.597200	18.225471
-5.900000	-11.523333	9.716079	8.726692	18.442771
-5.900000	-12.020000	9.824748	8.849866	18.674614
-5.900000	-12.516667	9.953889	8.966605	18.920494
-5.900000	-13.013333	10.102978	9.076886	19.179864
-5.900000	-13.510000	10.271379	9.180769	19.452148
-5.900000	-14.006667	10.458362	9.278383	19.736745
-5.900000	-14.503333	10.663132	9.369912	20.033044
-5.900000	-15.000000	10.884844	9.455582	20.340426
-6.800000	-0.100000	0.000000	6.800337	6.800337
-6.800000	-0.596667	0.000000	6.811979	6.811979
-6.800000	-1.093333	0.000000	6.840068	6.840068
-6.800000	-1.590000	0.000000	6.884232	6.884232
-6.800000	-2.086667	0.000000	6.943897	6.943897
-6.800000	-2.583333	0.000000	7.018304	7.018304
-6.800000	-3.080000	0.000000	7.106534	7.106534
-6.800000	-3.576667	0.000000	7.207540	7.207540
-6.800000	-4.073333	0.000000	7.320171	7.320171
-6.800000	-4.570000	0.000000	7.443203	7.443203
-6.800000	-5.066667	0.000000	7.575363	7.575363
-6.800000	-5.563333	0.000000	7.715358	7.715358
-6.800000	-6.060000	0.000000	7.861892	7.861892
-6.800000	-6.556667	11.463315	8.013687	19.477002
-6.800000	-7.053333	11.348111	8.169499	19.517610
-6.800000	-7.550000	11.245016	8.328129	19.573146
-6.800000	-8.046667	11.155074	8.488439	19.643513
-6.800000	-8.543333	11.079262	8.649356	19.728619
-6.800000	-9.040000	11.018483	8.809884	19.828367
-6.800000	-9.536667	10.973549	8.969106	19.942655
-6.800000	-10.033333	10.945171	9.126194	20.071365
-6.800000	-10.530000	10.933951	9.280410	20.214361
-6.800000	-11.026667	10.940374	9.431105	20.371478
-6.800000	-11.523333	10.964799	9.577725	20.542524
-6.800000	-12.020000	11.007464	9.719808	20.727271
-6.800000	-12.516667	11.068479	9.856980	20.925459
-6.800000	-13.013333	11.147835	9.988955	21.136790
-6.800000	-13.510000	11.245405	10.115527	21.360932
-6.800000	-14.006667	11.360959	10.236563	21.597522
-6.800000	-14.503333	11.494167	10.352000	21.846168
-6.800000	-15.000000	11.644616	10.461837	22.106453
-7.700000	-0.100000	0.000000	7.700298	7.700298
-7.700000	-0.596667	0.000000	7.710582	7.710582
-7.700000	-1.093333	0.000000	7.735427	7.735427
-7.700000	-1.590000	0.000000	7.774573	7.774573
-7.700000	-2.086667	0.000000	7.827622	7.827622
-7.700000	-2.583333	0.000000	7.894039	7.894039
-7.700000	-3.080000	0.000000	7.973175	7.973175
-7.700000	-3.576667	0.000000	8.064277	8.064277
-7.700000	-4.073333	0.000000	8.166507	8.166507
-7.700000	-4.570000	0.000000	8.278962	8.278962
-7.700000	-5.066667	0.000000	8.400685	8.400685
-7.700000	-5.563333	0.000000	8.530689	8.530689
-7.700000	-6.060000	0.000000	8.667966	8.667966
-7.700000	-6.556667	0.000000	8.811504	8.811504
-7.700000	-7.053333	0.000000	8.960298	8.960298
-7.700000	-7.550000	12.950273	9.113360	22.063633
-7.700000	-8.046667	12.836980	9.269728	22.106709
-7.700000	-8.543333	12.734483	9.428475	22.162958
-7.700000	-9.040000	12.643592	9.588714	22.232306
-7.700000	-9.536667	12.565075	9.749606	22.314680
-7.700000	-10.033333	12.499646	9.910360	22.410007
-7.700000	-10.530000	12.447963	10.070244	22.518207
-7.700000	-11.026667	12.410614	10.228582	22.639197
-7.700000	-11.523333	12.388116	10.384760	22.772877
-7.700000	-12.020000	12.380906	10.538227	22.919133
-7.700000	-12.516667	12.389341	10.688493	23.077834
-7.700000	-13.013333	12.413691	10.835135	23.248826
-7.700000	-13.510000	12.454140	10.977791	23.431932
-7.700000	-14.006667	12.510788	11.116164	23.626951
-7.700000	-14.503333	12.583647	11.250012	23.833659
-7.700000	-15.000000	12.672652	11.379154	24.051806
-8.600000	-0.100000	0.000000	8.600266	8.600266
-8.600000	-0.596667	0.000000	8.609477	8.609477
-8.600000	-1.093333	0.000000	8.631746	8.631746
-8.600000	-1.590000	0.000000	8.666887	8.666887
-8.600000	-2.086667	0.000000	8.714610	8.714610
-8.600000	-2.583333	0.000000	8.774529	8.774529
-8.600000	-3.080000	0.000000	8.846167	8.846167
-8.600000	-3.576667	0.000000	8.928967	8.928967
-8.600000	-4.073333	0.000000	9.022303	9.022303
-8.600000	-4.570000	0.000000	9.125493	9.125493
-8.600000	-5.066667	0.000000	9.237806	9.237806
-8.600000	-5.563333	0.000000	9.358478	9.358478
-8.600000	-6.060000	0.000000	9.486718	9.486718
-8.600000	-6.556667	0.000000	9.621720	9.621720
-8.600000	-7.053333	0.000000	9.762675	9.762675
-8.600000	-7.550000	0.000000	9.908771	9.908771
-8.600000	-8.046667	0.000000	10.059208	10.059208
-8.600000	-8.543333	14.437733	10.213201	24.650934
-8.600000	-9.040000	14.325973	10.369985	24.695959
-8.600000	-9.536667	14.223951	10.528821	24.752772
-8.600000	-10.033333	14.132314	10.689000	24.821314
-8.600000	-10.530000	14.051680	10.849846	24.901526
-8.600000	-11.026667	13.982631	11.010718	24.993349
-8.600000	-11.523333	13.925705	11.171017	25.096723
-8.600000	-12.020000	13.881397	11.330184	25.211581
-8.600000	-12.516667	13.850149	11.487702	25.337850
-8.600000	-13.013333	13.832348	11.643099	25.475447
-8.600000	-13.510000	13.828327	11.795948	25.624275
-8.600000	-14.006667	13.838357	11.945870	25.784227
-8.600000	-14.503333	13.862647	12.092529	25.955176
-8.600000	-15.000000	13.901346	12.235635	26.136981
-9.500000	-0.100000	0.000000	9.500241	9.500241
-9.500000	-0.596667	0.000000	9.508581	9.508581
-9.500000	-1.093333	0.000000	9.528756	9.528756
-9.500000	-1.590000	0.000000	9.560628	9.560628
-9.500000	-2.086667	0.000000	9.603982	9.603982
