layers,units,total_neurons,mse,complexity,expr
2,"[5, 8]",13,2.7159571800439153e-06,252.0,-0.001*x_0**7 - 0.005*x_0**6*x_1**2 - 0.005*x_0**6*x_1 - 0.016*x_0**5*x_1**2 - 0.016*x_0**5*x_1 + 0.004*x_0**5 + 0.064*x_0**4*x_1**4 + 0.128*x_0**4*x_1**3 + 0.018*x_0**4*x_1**2 - 0.045*x_0**4*x_1 - 0.006*x_0**4 - 0.001*x_0**4/x_1 + 0.128*x_0**3*x_1**4 + 0.259*x_0**3*x_1**3 + 0.064*x_0**3*x_1**2 - 0.064*x_0**3*x_1 - 0.021*x_0**3 - 0.001*x_0**3/x_1 - 0.463*x_0**2*x_1**6 - 1.39*x_0**2*x_1**5 - 0.987*x_0**2*x_1**4 + 0.335*x_0**2*x_1**3 + 0.324*x_0**2*x_1**2 - 0.055*x_0**2*x_1 - 0.043*x_0**2 - 0.003*x_0**2/x_1 - 0.463*x_0*x_1**6 - 1.407*x_0*x_1**5 - 1.086*x_0*x_1**4 + 0.218*x_0*x_1**3 + 0.331*x_0*x_1**2 - 0.036*x_0*x_1 - 0.046*x_0 + 2.025*x_1**8 + 8.102*x_1**7 + 9.44*x_1**6 - 0.046*x_1**5 - 4.892*x_1**4 - 0.244*x_1**3 + 0.781*x_1**2 - 0.458*x_1 + 0.006 + 0.072*x_1**7/x_0 + 0.208*x_1**6/x_0 + 0.112*x_1**5/x_0 - 0.109*x_1**4/x_0 - 0.056*x_1**3/x_0 + 0.025*x_1**2/x_0 - 0.001*x_1/x_0 + 0.072*x_1**8/x_0**2 + 0.215*x_1**7/x_0**2 + 0.127*x_1**6/x_0**2 - 0.105*x_1**5/x_0**2 - 0.061*x_1**4/x_0**2 + 0.028*x_1**3/x_0**2 - 0.001*x_1**2/x_0**2 + 0.002*x_1**7/x_0**3 + 0.005*x_1**6/x_0**3 - 0.002*x_1**4/x_0**3 + 0.001*x_1**8/x_0**4 + 0.002*x_1**7/x_0**4 - 0.001*x_1**5/x_0**4
2,"[7, 4]",11,3.6391788853507023e-06,244.0,-0.002*x_0**6 + 0.001*x_0**5*x_1**2 + 0.001*x_0**5*x_1 - 0.004*x_0**5 + 0.005*x_0**4*x_1**4 + 0.01*x_0**4*x_1**3 + 0.004*x_0**4*x_1**2 - 0.01*x_0**4 + 0.002*x_0**4/x_1 + 0.01*x_0**3*x_1**4 + 0.022*x_0**3*x_1**3 + 0.008*x_0**3*x_1**2 - 0.001*x_0**3*x_1 - 0.016*x_0**3 + 0.002*x_0**3/x_1 - 0.144*x_0**2*x_1**6 - 0.433*x_0**2*x_1**5 - 0.238*x_0**2*x_1**4 + 0.247*x_0**2*x_1**3 + 0.091*x_0**2*x_1**2 - 0.099*x_0**2*x_1 - 0.035*x_0**2 - 0.003*x_0**2/x_1 - 0.144*x_0*x_1**6 - 0.438*x_0*x_1**5 - 0.252*x_0*x_1**4 + 0.245*x_0*x_1**3 + 0.102*x_0*x_1**2 - 0.106*x_0*x_1 - 0.035*x_0 + 0.331*x_1**8 + 1.326*x_1**7 - 0.02*x_1**6 - 4.703*x_1**5 - 4.377*x_1**4 + 0.633*x_1**3 + 0.806*x_1**2 - 0.516*x_1 + 0.003 + 0.043*x_1**7/x_0 + 0.125*x_1**6/x_0 + 0.086*x_1**5/x_0 - 0.025*x_1**4/x_0 + 0.011*x_1**3/x_0 + 0.041*x_1**2/x_0 - 0.001*x_1/x_0 + 0.043*x_1**8/x_0**2 + 0.129*x_1**7/x_0**2 + 0.093*x_1**6/x_0**2 - 0.03*x_1**5/x_0**2 + 0.005*x_1**4/x_0**2 + 0.042*x_1**3/x_0**2 - 0.001*x_1**2/x_0**2 + 0.001*x_1**7/x_0**3 + 0.001*x_1**6/x_0**3 - 0.001*x_1**5/x_0**3 - 0.002*x_1**4/x_0**3 + 0.001*x_1**7/x_0**4 - 0.001*x_1**6/x_0**4 - 0.001*x_1**5/x_0**4
2,"[3, 4]",7,4.505445758695714e-06,229.0,-0.001*x_0**5*x_1**2 - 0.001*x_0**5*x_1 + 0.004*x_0**4*x_1**4 + 0.009*x_0**4*x_1**3 - 0.001*x_0**4*x_1**2 - 0.006*x_0**4*x_1 - 0.001*x_0**4 + 0.009*x_0**3*x_1**4 + 0.018*x_0**3*x_1**3 - 0.002*x_0**3*x_1**2 - 0.011*x_0**3*x_1 - 0.002*x_0**3 - 0.01*x_0**2*x_1**6 - 0.029*x_0**2*x_1**5 - 0.023*x_0**2*x_1**4 + 0.002*x_0**2*x_1**3 - 0.069*x_0**2*x_1**2 - 0.073*x_0**2*x_1 - 0.015*x_0**2 - 0.001*x_0**2/x_1 - 0.01*x_0*x_1**6 - 0.028*x_0*x_1**5 - 0.026*x_0*x_1**4 - 0.004*x_0*x_1**3 - 0.065*x_0*x_1**2 - 0.068*x_0*x_1 - 0.015*x_0 + 1.456*x_1**8 + 5.822*x_1**7 + 6.215*x_1**6 - 1.73*x_1**5 - 5.039*x_1**4 - 0.406*x_1**3 + 0.488*x_1**2 - 0.567*x_1 + 0.004 + 0.053*x_1**7/x_0 + 0.162*x_1**6/x_0 + 0.104*x_1**5/x_0 - 0.064*x_1**4/x_0 - 0.023*x_1**3/x_0 + 0.039*x_1**2/x_0 - 0.002*x_1/x_0 + 0.053*x_1**8/x_0**2 + 0.16*x_1**7/x_0**2 + 0.101*x_1**6/x_0**2 - 0.064*x_1**5/x_0**2 - 0.022*x_1**4/x_0**2 + 0.037*x_1**3/x_0**2 - 0.001*x_1**2/x_0**2 + 0.002*x_1**7/x_0**3 + 0.004*x_1**6/x_0**3 - 0.002*x_1**4/x_0**3 + 0.001*x_1**8/x_0**4 + 0.002*x_1**7/x_0**4 - 0.001*x_1**5/x_0**4
2,"[2, 3]",5,5.363226591725834e-06,167.0,-0.006*x_0**2*x_1**6 - 0.019*x_0**2*x_1**5 - 0.009*x_0**2*x_1**4 + 0.013*x_0**2*x_1**3 + 0.006*x_0**2*x_1**2 - 0.003*x_0**2*x_1 - 0.006*x_0*x_1**6 - 0.019*x_0*x_1**5 - 0.01*x_0*x_1**4 + 0.013*x_0*x_1**3 + 0.007*x_0*x_1**2 - 0.004*x_0*x_1 + 0.197*x_1**8 + 0.788*x_1**7 + 0.159*x_1**6 - 2.279*x_1**5 - 1.446*x_1**4 + 1.825*x_1**3 + 0.855*x_1**2 - 0.569*x_1 + 0.004 + 0.036*x_1**7/x_0 + 0.107*x_1**6/x_0 + 0.042*x_1**5/x_0 - 0.093*x_1**4/x_0 - 0.033*x_1**3/x_0 + 0.032*x_1**2/x_0 - 0.003*x_1/x_0 + 0.036*x_1**8/x_0**2 + 0.107*x_1**7/x_0**2 + 0.043*x_1**6/x_0**2 - 0.092*x_1**5/x_0**2 - 0.033*x_1**4/x_0**2 + 0.031*x_1**3/x_0**2 - 0.002*x_1**2/x_0**2 + 0.001*x_1**7/x_0**3 + 0.002*x_1**6/x_0**3 - 0.001*x_1**4/x_0**3 + 0.001*x_1**8/x_0**4 + 0.001*x_1**7/x_0**4 - 0.001*x_1**5/x_0**4
2,"[2, 5]",7,7.233079486468341e-06,162.0,-0.005*x_0**2*x_1**6 - 0.015*x_0**2*x_1**5 - 0.011*x_0**2*x_1**4 + 0.003*x_0**2*x_1**3 - 0.003*x_0**2*x_1 - 0.005*x_0*x_1**6 - 0.016*x_0*x_1**5 - 0.012*x_0*x_1**4 + 0.004*x_0*x_1**3 + 0.001*x_0*x_1**2 - 0.004*x_0*x_1 + 1.029*x_1**8 + 4.117*x_1**7 + 2.785*x_1**6 - 6.061*x_1**5 - 8.549*x_1**4 - 2.183*x_1**3 - 0.041*x_1**2 - 0.648*x_1 + 0.002 + 0.052*x_1**7/x_0 + 0.157*x_1**6/x_0 + 0.075*x_1**5/x_0 - 0.112*x_1**4/x_0 - 0.051*x_1**3/x_0 + 0.031*x_1**2/x_0 - 0.002*x_1/x_0 + 0.052*x_1**8/x_0**2 + 0.157*x_1**7/x_0**2 + 0.076*x_1**6/x_0**2 - 0.11*x_1**5/x_0**2 - 0.051*x_1**4/x_0**2 + 0.03*x_1**3/x_0**2 - 0.002*x_1**2/x_0**2 + 0.002*x_1**7/x_0**3 + 0.003*x_1**6/x_0**3 - 0.002*x_1**4/x_0**3 + 0.001*x_1**8/x_0**4 + 0.002*x_1**7/x_0**4 - 0.001*x_1**5/x_0**4
2,"[3, 3]",6,8.710970178071875e-06,159.0,0.03*x_0**2*x_1**6 + 0.089*x_0**2*x_1**5 + 0.044*x_0**2*x_1**4 - 0.063*x_0**2*x_1**3 - 0.029*x_0**2*x_1**2 + 0.024*x_0**2*x_1 + 0.001*x_0**2 - 0.002*x_0**2/x_1 + 0.03*x_0*x_1**6 + 0.092*x_0*x_1**5 + 0.051*x_0*x_1**4 - 0.06*x_0*x_1**3 - 0.028*x_0*x_1**2 + 0.024*x_0*x_1 - 0.002*x_0 - 0.001*x_0/x_1 + 1.134*x_1**8 + 4.536*x_1**7 + 4.712*x_1**6 - 1.738*x_1**5 - 3.67*x_1**4 + 0.846*x_1**3 + 1.006*x_1**2 - 0.462*x_1 + 0.008 + 0.03*x_1**7/x_0 + 0.097*x_1**6/x_0 + 0.055*x_1**5/x_0 - 0.067*x_1**4/x_0 - 0.037*x_1**3/x_0 + 0.021*x_1**2/x_0 - 0.003*x_1/x_0 + 0.03*x_1**8/x_0**2 + 0.09*x_1**7/x_0**2 + 0.043*x_1**6/x_0**2 - 0.064*x_1**5/x_0**2 - 0.031*x_1**4/x_0**2 + 0.016*x_1**3/x_0**2 - 0.002*x_1**2/x_0**2 + 0.001*x_1**6/x_0**3 - 0.001*x_1**4/x_0**3
2,"[2, 3]",5,1.2606867130671162e-05,140.0,-0.001*x_0**2*x_1**6 - 0.004*x_0**2*x_1**5 - 0.002*x_0**2*x_1**4 + 0.002*x_0**2*x_1**3 - 0.001*x_0**2*x_1**2 - 0.002*x_0**2*x_1 - 0.001*x_0*x_1**6 - 0.004*x_0*x_1**5 - 0.003*x_0*x_1**4 + 0.002*x_0*x_1**3 - 0.002*x_0*x_1 - 0.001*x_0 + 0.476*x_1**8 + 1.903*x_1**7 + 1.123*x_1**6 - 3.293*x_1**5 - 3.566*x_1**4 + 0.58*x_1**3 + 0.579*x_1**2 - 0.577*x_1 + 0.003 + 0.015*x_1**7/x_0 + 0.045*x_1**6/x_0 + 0.013*x_1**5/x_0 - 0.049*x_1**4/x_0 - 0.01*x_1**3/x_0 + 0.022*x_1**2/x_0 - 0.002*x_1/x_0 + 0.015*x_1**8/x_0**2 + 0.045*x_1**7/x_0**2 + 0.013*x_1**6/x_0**2 - 0.049*x_1**5/x_0**2 - 0.01*x_1**4/x_0**2 + 0.022*x_1**3/x_0**2 - 0.002*x_1**2/x_0**2 + 0.001*x_1**6/x_0**3
1,[4],4,1.5996538422768936e-05,62.0,0.005*x_0**2*x_1**2 + 0.005*x_0**2*x_1 - 0.003*x_0**2 - 0.002*x_0**2/x_1 + 0.005*x_0*x_1**2 + 0.003*x_0*x_1 - 0.003*x_0 + 1.789*x_1**4 + 3.577*x_1**3 + 1.332*x_1**2 - 0.455*x_1 + 0.006 + 0.013*x_1**3/x_0 + 0.013*x_1**2/x_0 - 0.002*x_1/x_0 + 0.013*x_1**4/x_0**2 + 0.013*x_1**3/x_0**2 - 0.002*x_1**2/x_0**2
1,[2],2,1.9544839233276434e-05,53.0,-0.005*x_0**2*x_1**2 - 0.005*x_0**2*x_1 - 0.005*x_0*x_1**2 - 0.005*x_0*x_1 + 1.742*x_1**4 + 3.484*x_1**3 + 1.236*x_1**2 - 0.507*x_1 + 0.004 + 0.013*x_1**3/x_0 + 0.013*x_1**2/x_0 - 0.002*x_1/x_0 + 0.013*x_1**4/x_0**2 + 0.013*x_1**3/x_0**2 - 0.002*x_1**2/x_0**2
0,[],0,8.739198528928682e-05,18.0,0.007*x_0**2 + 0.007*x_0 - 0.831*x_1**2 - 0.832*x_1 - 0.009 - 0.001*x_1/x_0 - 0.001*x_1**2/x_0**2
